University;Term;Location;School;Sat;Toefl;CostRoom;CostTot;Debts
BallStateUniversity;1;1;0;985;1;4,0;12,5;8,21
Cal.StateUniv.-Fresno;1;1;0;955;0;5,4;13,1;8,76
FloridaInternationalUniv;1;1;0;1135;0;2,7;10,0;4,14
FloridaStateUniversity;1;1;0;1180;1;4,5;11,5;16,50
GeorgiaStateUniversity;0;1;0;1115;0;7,4;15,4;8,08
NorthCarolinaStateUniv.;1;1;0;1145;1;4,0;14,3;14,99
OregonStateUniversity;0;1;0;1072;1;4,4;15,5;10,50
PurdueUniversity;1;1;0;1095;1;4,5;15,2;11,84
SanDiegoStateUniversity;1;1;0;945;1;6,2;13,6;6,75
TexasA&MUniversity;1;1;0;1150;1;3,9;12,7;14,10
Univ.ofGeorgia;0;1;0;1180;1;4,0;11,9;10,80
Univ.ofHawaii-Manoa;1;1;0;1075;0;4,7;12,6;3,62
Univ.ofHouston;1;1;0;1065;1;4,1;12,1;9,40
Univ.ofNevada-LasVegas;1;1;0;980;0;5,5;12,3;10,00
Univ.ofNorthCarolina-C.H;1;1;0;1225;1;4,5;15,2;9,41
Univ.ofTexas-Austin;1;1;0;1215;1;3,9;12,9;10,20
Univ.ofVermont;1;1;0;1115;1;5,1;22,4;21,50
VirginiaCommonwealthUniv;1;1;0;1005;1;4,3;16,3;14,73
WestVirginiaUniversity;1;1;0;1025;1;4,6;11,7;10,70
ArizonaStateUniversity;1;2;0;1080;0;4,3;12,7;12,90
CollegeofWilliam&Mary;1;2;0;1295;1;4,5;19,4;13,42
GeorgeMasonUniversity;1;2;0;1055;1;5,0;17,0;13,00
MontclairStateUniversity;1;2;0;1025;0;5,3;10,2;4,50
SUNY-Binghamton;1;2;0;1039;1;4,6;13,4;6,25
Univ.ofMaryland;1;2;0;1170;1;5,5;15,7;16,64
Univ.ofMass.-Amherst;1;2;0;1100;1;4,2;16,4;10,20
ClemsonUniversity;1;3;0;1130;1;3,9;12,4;9,98
SlipperyRockUniv.ofPenn.;1;3;0;955;0;3,6;12,9;17,00
Univ.ofNewHampshire;1;3;0;1110;1;4,4;18,6;9,66
VirginiaTech;1;3;0;1265;1;3,5;14,9;10,33
BostonUniversity;1;1;1;1235;1;7,0;27,9;14,46
CanisiusCollege;1;1;1;1143;0;5,9;18,8;14,82
CarnegieMellonUniversity;1;1;1;1335;1;6,1;25,6;15,68
CaseWesternReserveUniv.;1;1;1;1330;1;5,0;22,2;26,03
ClarkUniversity;1;1;1;1121;1;4,4;24,4;17,50
ColbyCollege;0;1;1;1275;1;5,7;27,9;11,63
CollegeofHolyCross;1;1;1;1275;1;6,7;26,8;12,63
EmoryUniversity;1;1;1;1310;1;6,5;26,6;15,31
FordhamUniversity;1;1;1;1150;1;7,4;23,4;8,59
Franklin&MarshallCollege;1;1;1;1260;1;4,5;26,4;11,50
GeorgeWashingtonUniversi;1;1;1;1235;1;6,9;26,7;14,37
GeorgetownUniversity;1;1;1;1330;1;7,5;27,5;14,01
HarvardUniversity;1;1;1;1465;1;7,0;28,9;11,65
LafayetteCollege;1;1;1;1185;1;6,3;26,7;11,50
LaSalleUniversity;1;1;1;1105;0;6,7;20,8;11,70
LehighUniversity;1;1;1;1225;1;6,0;26,8;13,84
ManhattanCollege;1;1;1;952;1;7,1;22,0;9,27
NewYorkUniversity;1;1;1;1260;1;7,8;28,6;17,32
NortheasternUniversity;0;1;1;1055;1;8,2;23,4;25,60
ProvidenceCollege;1;1;1;1185;1;6,7;22,9;17,50
RiceUniversity;1;1;1;1395;1;6,0;18,0;2,32
SeattleUniversity;0;1;1;1100;1;5,3;19,5;12,00
SyracuseUniversity;1;1;1;1180;1;7,2;24,3;14,50
TulaneUniversity;1;1;1;1270;1;6,3;27,5;13,85
Univ.ofChicago;0;1;1;1370;1;7,3;28,8;14,07
Univ.ofPennsylvania;1;1;1;1355;1;7,5;28,6;17,62
Univ.ofPortland;1;1;1;1135;0;4,5;18,9;13,90
Univ.ofScranton;0;1;1;1115;0;6,6;21,6;13,50
VanderbiltUniversity;1;1;1;1295;1;7,1;27,3;14,50
YaleUniversity;1;1;1;1450;1;6,7;28,9;13,57
BabsonCollege;1;2;1;1165;1;7,6;26,4;18,00
BostonCollege;1;2;1;1285;1;7,5;26,8;15,86
BowdoinCollege;1;2;1;1345;1;6,0;27,8;13,64
BryantCollege;0;2;1;1080;1;6,7;20,6;18,00
IonaCollege;1;2;1;955;1;7,3;19,8;18,00
NiagaraUniversity;1;2;1;1065;0;5,4;17,6;11,58
NorthwesternUniversity;0;2;1;1350;1;6,1;24,2;11,98
RochesterInst.Technology;0;2;1;1185;0;6,1;21,8;17,50
SetonHallUniversity;1;2;1;1030;1;7,1;20,8;14,90
SienaCollege;1;2;1;1095;0;5,4;17,6;18,25
SouthernMethodistUnivers;1;2;1;1150;1;5,3;21,3;12,11
StanfordUniversity;0;2;1;1430;1;7,3;27,8;12,77
Univ.ofMiami;1;2;1;1145;1;7,1;25,7;16,07
Univ.ofNotreDame;1;2;1;1320;1;4,8;23,8;16,57
VillanovaUniversity;1;2;1;1242;1;7,0;24,8;17,13
WakeForestUniversity;1;2;1;1280;1;5,2;23,7;18,70
BucknellUniversity;1;3;1;1255;1;5,0;25,4;12,50
ColgateUniversity;1;3;1;1300;1;5,9;27,6;9,24
GettysburgCollege;1;3;1;1200;1;4,8;26,4;11,75
St.BonaventureUniversity;1;3;1;1098;1;5,1;17,5;14,00
