iso,Country/Region,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CHN,China,MtCO2e,798.80,570.63,459.62,456.78,460.64,500.29,549.46,460.23,495.51,607.68,807.95,909.21,968.65,1008.29,1028.10,1183.21,1226.42,1340.83,1492.78,1525.66,1494.50,1476.49,1606.59,1694.22,1844.83,1998.08,2104.21,2257.74,2425.89,2463.65,2484.85,2606.10,2730.79,2921.65,3100.00,3357.91,3503.23,3510.17,3360.46,3552.84,3644.46,3723.73,4112.46,4827.45,5223.75,5876.56,6488.80,6978.61,7496.83,7886.53,8616.65,9528.56,9779.28,9956.31,9998.62,9866.90,9764.98,10011.11,10353.88,10741.00,10956.21,11472.37
USA,United States,MtCO2e,2897.32,2886.87,2993.90,3126.49,3264.31,3399.55,3571.42,3705.46,3840.92,4035.15,4339.69,4365.47,4573.02,4785.05,4621.05,4478.23,4747.76,4889.61,4941.36,5008.58,4808.52,4686.37,4447.26,4429.37,4662.14,4652.58,4663.37,4825.65,5050.48,5132.13,5122.50,5064.99,5175.22,5274.36,5365.58,5427.80,5616.43,5691.86,5737.13,5810.33,6016.35,5911.99,5952.70,6015.80,6117.96,6137.60,6057.16,6135.29,5918.87,5482.98,5681.39,5546.63,5345.45,5480.93,5528.87,5376.58,5251.76,5210.96,5376.66,5259.14,4715.69,5007.34
IND,India,MtCO2e,111.33,120.40,132.58,142.44,139.49,153.70,159.37,159.56,174.07,177.41,181.72,191.96,203.04,209.10,215.85,234.21,244.75,258.96,263.15,276.29,291.71,314.97,325.38,352.20,361.56,397.59,426.31,455.34,491.69,540.65,578.00,615.37,655.45,677.30,716.27,761.45,825.20,858.94,876.95,950.95,978.10,991.73,1022.18,1058.73,1124.52,1184.93,1258.64,1356.95,1461.52,1611.42,1676.49,1778.47,1962.59,2037.42,2187.34,2270.77,2383.82,2434.87,2600.45,2626.46,2445.01,2709.68
RUS,Russia,MtCO2e,884.64,912.31,957.53,1026.91,1092.14,1158.56,1223.50,1279.36,1315.31,1369.81,1440.68,1528.85,1608.55,1676.48,1740.32,1829.33,1899.79,1964.41,2031.87,2048.72,2129.33,2088.79,2128.17,2158.35,2177.52,2348.38,2348.80,2357.85,2436.91,2404.82,2534.87,2405.53,1965.61,1865.94,1646.94,1618.95,1586.17,1481.62,1464.54,1493.16,1478.18,1514.71,1505.52,1535.29,1541.75,1559.08,1618.25,1618.59,1646.97,1539.31,1626.19,1679.28,1694.58,1632.72,1631.66,1629.71,1624.76,1654.15,1700.45,1692.36,1624.22,1755.55
JPN,Japan,MtCO2e,232.50,282.79,292.86,324.84,358.89,386.47,419.25,489.31,561.91,653.22,767.96,796.54,852.17,914.27,914.31,868.51,907.14,933.24,901.59,953.07,944.87,926.84,897.41,880.91,937.07,912.40,912.26,902.53,985.46,1021.68,1158.13,1169.78,1179.50,1172.49,1227.51,1239.91,1252.45,1245.14,1205.25,1241.84,1264.59,1249.99,1279.36,1287.69,1283.08,1290.60,1267.62,1303.36,1232.48,1163.38,1215.06,1265.03,1306.18,1315.57,1264.41,1223.61,1203.89,1188.36,1143.41,1106.02,1042.22,1067.40
IRN,Iran,MtCO2e,37.36,36.51,37.43,41.30,47.52,53.72,64.10,67.88,82.33,83.04,91.79,101.63,106.02,129.48,143.78,139.21,156.46,163.73,162.10,162.98,120.49,113.00,137.77,149.58,149.86,159.86,147.60,158.56,175.14,190.20,209.94,221.83,226.93,235.61,263.82,271.58,276.29,267.05,305.50,379.50,369.15,394.75,397.63,413.66,442.12,463.16,503.64,512.66,534.64,559.02,569.77,577.34,588.36,597.95,632.67,631.58,633.83,685.40,700.94,702.96,729.98,748.88
DEU,Germany,MtCO2e,813.95,834.84,883.17,945.50,968.92,960.10,951.42,936.23,984.79,1052.00,1026.02,1037.24,1041.48,1085.74,1062.73,1002.45,1090.84,1052.61,1079.13,1117.89,1100.07,1048.52,1015.73,1011.60,1033.24,1044.12,1047.47,1032.44,1029.02,1008.79,1051.98,1013.82,965.54,955.82,939.49,938.61,958.70,930.87,922.81,895.35,899.35,916.14,899.45,900.63,886.64,866.30,877.94,851.22,854.51,789.90,832.54,808.91,813.69,831.21,792.26,795.56,800.34,785.62,754.41,707.15,639.38,674.75
SAU,Saudi Arabia,MtCO2e,2.67,3.57,6.25,6.94,7.04,4.22,6.41,25.49,29.08,35.27,45.25,59.76,70.28,95.05,98.70,83.26,101.46,118.07,115.02,138.00,169.24,175.30,157.89,160.84,155.51,172.42,204.60,190.45,202.25,203.42,208.50,288.55,316.17,340.64,328.14,262.42,258.27,215.81,207.24,225.99,296.36,296.59,325.70,326.52,394.58,395.85,431.29,386.51,432.34,465.84,517.72,497.66,566.83,544.56,612.84,678.85,642.86,643.64,626.19,656.48,661.19,672.38
IDN,Indonesia,MtCO2e,21.39,26.00,22.97,22.76,22.37,24.67,23.38,24.54,27.56,33.36,35.79,38.96,43.31,49.10,51.23,53.93,61.79,82.42,93.94,95.14,94.87,100.30,105.58,105.18,112.46,121.60,122.17,123.88,132.72,131.67,144.80,174.87,199.42,215.11,218.32,222.39,251.74,277.41,212.48,240.18,276.56,303.34,310.82,340.44,344.39,348.99,346.71,388.26,366.29,401.96,451.55,504.80,515.95,489.06,487.89,539.15,552.65,567.25,603.66,659.44,609.79,619.28
KOR,South Korea,MtCO2e,12.54,14.45,17.26,21.08,22.20,24.98,29.98,35.11,37.20,42.47,53.72,58.53,60.25,72.97,75.55,81.67,93.10,105.46,113.12,132.87,134.52,139.59,140.78,149.13,160.70,168.76,176.30,185.36,210.95,223.51,250.51,275.69,299.91,330.17,355.69,383.67,421.06,444.99,378.05,410.54,439.98,455.63,476.06,485.21,491.39,498.69,503.48,521.71,532.65,537.82,594.34,623.44,627.94,634.58,629.37,634.18,637.91,654.54,670.17,646.10,597.63,616.08
